,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
357,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
358,POLICE OFFICER,POLICE,F,Salary,,87006.0,
359,LABORER - APPRENTICE,WATER MGMNT,F,Hourly,40.0,,38.45
360,POLICE OFFICER,POLICE,F,Salary,,87006.0,
361,PUBLIC HEALTH NURSE II,HEALTH,F,Salary,,102216.0,
362,POLICE OFFICER,POLICE,F,Salary,,93354.0,
363,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,F,Salary,,107952.0,
364,POLICE OFFICER,POLICE,F,Salary,,87006.0,
365,POLICE OFFICER,POLICE,F,Salary,,90024.0,
366,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
367,LIEUTENANT,POLICE,F,Salary,,120252.0,
368,SERGEANT,POLICE,F,Salary,,107988.0,
369,SANITATION CLERK,STREETS & SAN,F,Salary,,69780.0,
370,POLICE OFFICER,POLICE,F,Salary,,48078.0,
371,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
372,POLICE OFFICER,POLICE,F,Salary,,90024.0,
373,OPERATING ENGINEER-GROUP C,AVIATION,F,Hourly,40.0,,48.17
374,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,88296.0,
375,POLICE OFFICER,POLICE,F,Salary,,80016.0,
376,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,F,Salary,,33180.0,
377,POLICE OFFICER,POLICE,F,Salary,,48078.0,
378,TESTING SPECIALIST,HUMAN RESOURCES,F,Salary,,75408.0,
379,POLICE OFFICER,POLICE,F,Salary,,93354.0,
380,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
381,FOREMAN OF WATER PIPE CONSTRUCTION,WATER MGMNT,F,Hourly,40.0,,53.25
382,FILTRATION ENGINEER II,WATER MGMNT,F,Salary,,68256.0,
383,PROPERTY CUSTODIAN,POLICE,F,Salary,,73104.0,
384,POLICE OFFICER,POLICE,F,Salary,,72510.0,
385,AIRPORT MANAGER - O'HARE,AVIATION,F,Salary,,91092.0,
386,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
387,POLICE TECHNICIAN,POLICE,F,Salary,,91338.0,
